465 465
2 1 0
1002 1 2
1002 1001 531
2002 1 4
2002 1001 1595
2002 2001 2137
3002 1 6
3002 1001 2892
3002 2001 4300
3002 3001 4825
4002 1 9
4002 1001 3794
4002 2001 6454
4002 3001 8200
4002 4001 8541
5002 1 10
5002 1001 4823
5002 2001 8524
5002 3001 11340
5002 4001 12786
5002 5001 13349
6002 1 12
6002 1001 5910
6002 2001 10733
6002 3001 14460
6002 4001 17275
6002 5001 18990
6002 6001 19373
7002 1 13
7002 1001 6983
7002 2001 12943
7002 3001 17616
7002 4001 21528
7002 5001 24026
7002 6001 25844
7002 7001 26647
8002 1 15
8002 1001 8161
8002 2001 15329
8002 3001 21074
8002 4001 25743
8002 5001 29571
8002 6001 31984
8002 7001 37832
8002 8001 34374
9002 1 20
9002 1001 9179
9002 2001 17357
9002 3001 24346
9002 4001 30485
9002 5001 35568
9002 6001 39047
9002 7001 41903
9002 8001 43730
9002 9001 44405
10002 1 21
10002 1001 10233
10002 2001 19419
10002 3001 27882
10002 4001 34743
10002 5001 40561
10002 6001 45372
10002 7001 51672
10002 8001 52714
10002 9001 54004
10002 10001 54848
11002 1 22
11002 1001 11581
11002 2001 22021
11002 3001 31244
11002 4001 39626
11002 5001 46902
11002 6001 51813
11002 7001 56711
11002 8001 59977
11002 9001 62931
11002 10001 64254
11002 11001 64658
12002 1 23
12002 1001 12364
12002 2001 23575
12002 3001 33978
12002 4001 44519
12002 5001 52508
12002 6001 58431
12002 7001 63977
12002 8001 68711
12002 9001 72528
12002 10001 74723
12002 11001 76300
12002 12001 76787
13002 1 25
13002 1001 13509
13002 2001 27672
13002 3001 37064
13002 4001 47265
13002 5001 56142
13002 6001 64385
13002 7001 71638
13002 8001 77621
13002 9001 82246
13002 10001 89847
13002 11001 88682
13002 12001 89929
13002 13001 90106
14002 1 27
14002 1001 14437
14002 2001 27832
14002 3001 40241
14002 4001 51266
14002 5001 61427
14002 6001 72119
14002 7001 78978
14002 8001 85199
14002 9001 91153
14002 10001 95456
14002 11001 99362
14002 12001 101926
14002 13001 103449
14002 14001 103932
15002 1 29
15002 1001 15537
15002 2001 30076
15002 3001 45327
15002 4001 56631
15002 5001 66634
15002 6001 76541
15002 7001 85654
15002 8001 93769
15002 9001 101015
15002 10001 106437
15002 11001 112539
15002 12001 114531
15002 13001 118053
15002 14001 122367
15002 15001 121272
16002 1 30
16002 1001 16632
16002 2001 32095
16002 3001 46828
16002 4001 59779
16002 5001 72009
16002 6001 83551
16002 7001 93891
16002 8001 103200
16002 9001 111167
16002 10001 117357
16002 11001 123322
16002 12001 128759
16002 13001 132173
16002 14001 134794
16002 15001 135903
16002 16001 135991
17002 1 32
17002 1001 17643
17002 2001 34209
17002 3001 49806
17002 4001 64238
17002 5001 77359
17002 6001 89828
17002 7001 101863
17002 8001 111320
17002 9001 120126
17002 10001 127837
17002 11001 135079
17002 12001 140670
17002 13001 145537
17002 14001 149300
17002 15001 151423
17002 16001 155322
17002 17001 153724
18002 1 34
18002 1001 18776
18002 2001 36241
18002 3001 52874
18002 4001 68568
18002 5001 82812
18002 6001 96019
18002 7001 107885
18002 8001 119667
18002 9001 130721
18002 10001 138780
18002 11001 146696
18002 12001 153516
18002 13001 159378
18002 14001 165170
18002 15001 168065
18002 16001 170616
18002 17001 174077
18002 18001 172449
19002 1 36
19002 1001 19786
19002 2001 39716
19002 3001 56762
19002 4001 72869
19002 5001 88227
19002 6001 102549
19002 7001 115799
19002 8001 128356
19002 9001 139132
19002 10001 148793
19002 11001 158121
19002 12001 165902
19002 13001 172802
19002 14001 178812
19002 15001 183198
19002 16001 187019
19002 17001 189714
19002 18001 191360
19002 19001 191614
20002 1 38
20002 1001 20817
20002 2001 40560
20002 3001 59161
20002 4001 77115
20002 5001 92902
20002 6001 108983
20002 7001 123222
20002 8001 136802
20002 9001 148804
20002 10001 160324
20002 11001 170144
20002 12001 179049
20002 13001 187015
20002 14001 193997
20002 15001 200353
20002 16001 203769
20002 17001 208874
20002 18001 210359
20002 19001 214005
20002 20001 212792
21002 1 39
21002 1001 24879
21002 2001 42793
21002 3001 62608
21002 4001 81126
21002 5001 98958
21002 6001 117493
21002 7001 132067
21002 8001 145119
21002 9001 157943
21002 10001 169958
21002 11001 181305
21002 12001 191496
21002 13001 200278
21002 14001 208391
21002 15001 215302
21002 16001 221459
21002 17001 227675
21002 18001 229805
21002 19001 232072
21002 20001 233646
21002 21001 234378
22002 1 41
22002 1001 23010
22002 2001 45476
22002 3001 66082
22002 4001 85826
22002 5001 104279
22002 6001 122162
22002 7001 138212
22002 8001 157123
22002 9001 168448
22002 10001 181271
22002 11001 193376
22002 12001 204665
22002 13001 215558
22002 14001 224172
22002 15001 231559
22002 16001 238061
22002 17001 243518
22002 18001 248931
22002 19001 252768
22002 20001 254891
22002 21001 257869
22002 22001 258124
23002 1 44
23002 1001 24159
23002 2001 47539
23002 3001 69121
23002 4001 89399
23002 5001 109561
23002 6001 127854
23002 7001 145139
23002 8001 161870
23002 9001 176966
23002 10001 191111
23002 11001 204342
23002 12001 217177
23002 13001 227919
23002 14001 238284
23002 15001 246806
23002 16001 254839
23002 17001 261935
23002 18001 272632
23002 19001 276744
23002 20001 276481
23002 21001 283474
23002 22001 285293
23002 23001 285996
24002 1 46
24002 1001 25524
24002 2001 50054
24002 3001 72881
24002 4001 94626
24002 5001 115679
24002 6001 137583
24002 7001 165670
24002 8001 182650
24002 9001 195265
24002 10001 208789
24002 11001 225816
24002 12001 236656
24002 13001 249653
24002 14001 258507
24002 15001 268238
24002 16001 283862
24002 17001 289729
